品名,品番,メーカー,規格・仕様,単価,単位,備考
タイルカーペット,TC-4501,東リ,500×500mm 厚6.5mm パイル BCFナイロン,4800,m²,GA-400シリーズ
ビニルクロス,SP-9521,サンゲツ,防カビ 準不燃 1000mm幅,1250,m²,リフォームセレクション
化粧石膏ボード ジプトーン,TK-101,吉野石膏,9.5mm厚 303×606mm,650,m²,天井仕上げ用
クッションフロア,CF-4521,東リ,1820mm幅 厚2.3mm 土足対応,3200,m²,店舗向け耐久タイプ
長尺塩ビシート,FS-1035,田島ルーフィング,1820mm幅 厚2.0mm,2800,m²,病院・福祉施設向け
軽量鉄骨下地 LGS,C-65,桐井製作所,65×45×0.8mm,380,m,壁下地用Cチャンネル
石膏ボード GB-R,GB-R12.5,吉野石膏,12.5mm厚 910×1820mm,480,m²,準不燃
スチールドア SD,SD-301,三和シヤッター,W900×H2100 片開き 鋼板1.6mm,85000,枚,防火設備認定品
アルミサッシ引違い窓 AW,AW-16509,YKK AP,W1650×H900 ペアガラス Low-E,42000,枚,断熱等級H-5
強化ガラス,FTL-8,日本板硝子,8mm厚 飛散防止フィルム付,6800,m²,
木製建具 WD,WD-M721,大建工業,W800×H2000 フラッシュ戸,45000,枚,メラミン化粧仕上げ
フロートガラス FL,FL-5,AGC,5mm厚 透明,2400,m²,一般窓用
LED ダウンライト,XND2061WL,パナソニック,φ150 昼白色 電源内蔵 調光,8900,台,高気密SB形
2Pコンセント,WN1001,パナソニック,15A 125V JIS C 8303,320,個,フルカラーシリーズ
片切スイッチ,WN5001,パナソニック,15A 300V,280,個,フルカラーシリーズ
VVFケーブル 2C,VVF2.0-2C,フジクラ,2.0mm 2芯,85,m,600V ビニル絶縁
分電盤,BQR86162,パナソニック,60A 16+2回路,28000,面,住宅用 コスモパネル
PF管,PFS-16,古河電工,PF管 φ16 オレンジ,120,m,自己消火性
LANケーブル Cat6A,STP-6A,パンドウィット,Cat6A STP 4P,210,m,10GBASE-T対応
誘導灯,FW21317LE1,パナソニック,C級 片面 壁直付,12500,台,LED 蓄電池内蔵
天井カセット型エアコン,SZRC140BJ,ダイキン,5馬力 三相200V,385000,台,S-ラウンドフロー
全熱交換器ロスナイ,VL-220ZMH3,三菱電機,220m³/h 天井埋込,68000,台,DCモーター 高効率
スパイラルダクト,SD-250,フカガワ,φ250mm 亜鉛鉄板 0.5mm,1800,m,空調用
アネモスタット,VHS-250,空研工業,φ250 天井埋込,5200,個,アルミ製
ボリュームダンパー VD,VD-200,空研工業,φ200mm,3800,個,風量調整用
HIVP管,HIVP-20,クボタケミックス,φ20mm 耐衝撃性,280,m,給水用
VU管,VU-100,アロン化成,φ100mm,450,m,排水用
ボールバルブ BV,BV-20,キッツ,φ20mm 青銅製 600型,1850,個,
洋式大便器,CS232B,TOTO,ウォシュレット一体型 手洗付,128000,台,ZJ2シリーズ
サーモスタット混合栓,TBV03401J,TOTO,壁付 170mm,18500,個,GGシリーズ
給湯器,GT-2460SAWX,ノーリツ,24号 オートタイプ LPG,145000,台,屋外壁掛
グリストラップ,GT-5F,ホーコス,FRP製 5L 床置型,28000,基,飲食店用
異形鉄筋 D13,SD345-D13,,SD345 D13mm,82,kg,JIS G 3112
普通コンクリート,Fc24-18-20N,,呼び強度24 スランプ18 粗骨材20mm,16500,m³,レディーミクスト
H形鋼,H-200×100,,200×100×5.5×8mm SS400,98000,t,柱・梁用
構造用合板,N-12,日本合板,12mm厚 910×1820mm F☆☆☆☆,1200,m²,耐力壁用
コンクリートブロック CB,CB-12,,,12cm厚 C種,280,個,塀・間仕切り用
インターロッキングブロック,IL-80,太平洋セメント,80mm厚 200×100mm,4500,m²,透水タイプ
メッシュフェンス,MF-1800,LIXIL,H1800 スチール 亜鉛メッキ,12500,m,境界用
高麗芝,,,30mm ソッド(切芝),850,m²,
外構照明 ポール灯,XY2810,パナソニック,LED 昼白色 H2500mm,45000,本,アルミポール
ステンレス手すり,SUS-φ38,,,φ38mm SUS304 HL仕上げ,8500,m,廊下・階段用
防火ダンパー FD,FD-250,空研工業,φ250mm 温度ヒューズ72℃,6800,個,区画貫通部
排煙窓オペレーター,KA-620,排煙設備,ワイヤー式 手動,35000,台,
押出法ポリスチレンフォーム XPS,スタイロフォーム3B,デュポン・スタイロ,50mm厚 3種b,2800,m²,屋根断熱
アスファルト防水,トーチ工法,田島ルーフィング,改質アスファルト 露出,5500,m²,屋上防水
シーリング材,POSシールLM,セメダイン,変成シリコーン 2成分形,850,m,外壁目地用
